2023.06.04;28668
2023.05.28;27644
2023.05.21;33531
2023.05.14;37615
2023.05.07;28006
2023.04.30;42251
2023.04.23;35180
2023.04.16;34811
2023.04.09;25873
2023.04.02;36232
2023.03.26;39000
2023.03.19;37972
2023.03.12;38487
2023.03.05;32305
2023.02.26;23147
2023.02.19;43907
2023.02.12;37802
2023.02.05;35557
2023.01.29;36911
2023.01.22;34798
2023.01.15;39273
2023.01.08;45085
2023.01.01;36407
2022.12.25;31796
2022.12.18;36090
2022.12.11;29286
2022.12.04;30562
2022.11.27;36019
2022.11.20;33179
2022.11.13;33785
2022.11.06;32558
2022.10.30;30727
2022.10.23;37045
2022.10.16;39153
2022.10.09;36594
2022.10.02;34631
2022.09.25;27986
2022.09.18;30716
2022.09.11;28141
2022.09.04;45569
2022.08.28;29992
2022.08.21;43256
2022.08.14;32303
2022.08.07;31303
2022.07.31;38429
2022.07.24;34237
2022.07.17;33970
2022.07.10;40521
2022.07.03;41101
2022.06.26;53511
2022.06.19;53027
2022.06.12;37544
2022.06.05;43263
2022.05.29;37259
2022.05.22;45474
2022.05.15;45932
2022.05.08;37939
2022.05.01;35279
2022.04.24;34226
2022.04.17;40548
2022.04.10;34894
2022.04.03;41438
2022.03.27;35496
2022.03.20;35333
2022.03.13;40207
2022.03.06;34262
2022.02.27;33007
2022.02.20;48449
2022.02.13;46099
2022.02.06;35395
2022.01.30;37230
2022.01.23;43805
2022.01.16;38115
2022.01.09;41055
2022.01.02;44724
2021.12.26;70452
2021.12.19;58542
2021.12.12;57884
2021.12.05;38645
2021.11.28;43115
2021.11.21;55133
2021.11.14;47029
2021.11.07;47625
2021.10.31;50825
2021.10.24;38130
2021.10.17;54711
2021.10.10;44226
2021.10.03;39322
2021.09.26;45264
2021.09.19;48267
2021.09.12;45567
2021.09.05;41046
2021.08.29;40899
2021.08.22;47111
2021.08.15;36976
2021.08.08;34021
2021.08.01;37605
2021.07.25;30860
2021.07.18;34181
2021.07.11;40232
2021.07.04;34116
2021.06.27;36682
2021.06.20;30770
2021.06.13;35621
2021.06.06;33857
2021.05.30;26956
2021.05.23;36328
2021.05.16;32138
2021.05.09;34169
2021.05.02;21862
2021.04.25;39331
2021.04.18;30385
2021.04.11;39146
2021.04.04;25763
2021.03.28;34004
2021.03.21;30988
2021.03.14;41511
2021.03.07;33364
2021.02.28;39331
2021.02.21;28471
2021.02.14;41047
2021.02.07;35679
2021.01.31;32755
2021.01.24;29752
2021.01.17;38279
2021.01.10;39076
2021.01.03;35920
2020.12.27;31486
2020.12.20;41639
2020.12.13;51100
2020.12.06;41882
2020.11.29;41818
2020.11.22;39244
2020.11.15;36880
2020.11.08;39587
2020.11.01;35335
2020.10.25;36806
2020.10.18;37683
2020.10.11;33190
2020.10.04;35790
2020.09.27;39638
2020.09.20;27748
2020.09.13;33950
2020.09.06;37328
2020.08.30;32074
2020.08.23;33564
2020.08.16;39980
2020.08.09;30885
2020.08.02;30038
2020.07.26;39377
2020.07.19;38669
2020.07.12;38758
2020.07.05;32106
2020.06.28;25615
2020.06.21;26803
2020.06.14;48332
2020.06.07;44483
2020.05.31;33988
2020.05.24;34040
2020.05.17;40533
2020.05.10;25205
2020.05.03;35193
2020.04.26;30979
2020.04.19;26807
2020.04.12;35617
2020.04.05;47247
